time,run_id,gps_latitude,gps_longitude,gps_speed,t,theta,omega,v,simulation_running
2026-09-09 13:22:00.00+00:00,0,47.05150553,8.31225993,18.000,0.000,0.000,0.000,5.000,True
2026-09-09 13:22:00.05+00:00,0,47.05150553,8.31226323,18.000,0.050,0.000,0.000,5.000,True
2026-09-09 13:22:00.10+00:00,0,47.05150553,8.31226653,18.000,0.100,0.000,0.000,5.000,True
2026-09-09 13:22:00.15+00:00,0,47.05150553,8.31226983,18.000,0.150,0.000,0.000,5.000,True
2026-09-09 13:22:00.20+00:00,0,47.05150553,8.31227313,18.000,0.200,0.000,0.000,5.000,True
2026-09-09 13:22:00.25+00:00,0,47.05150553,8.31227643,18.000,0.250,0.000,0.000,5.000,True
2026-09-09 13:22:00.30+00:00,0,47.05150553,8.31227973,18.000,0.300,0.000,0.000,5.000,True
2026-09-09 13:22:00.35+00:00,0,47.05150553,8.31228303,18.000,0.350,0.000,0.000,5.000,True
2026-09-09 13:22:00.40+00:00,0,47.05150553,8.31228633,18.000,0.400,0.000,0.000,5.000,True
2026-09-09 13:22:00.45+00:00,0,47.05150553,8.31228963,18.000,0.450,0.000,0.000,5.000,True
2026-09-09 13:22:00.50+00:00,0,47.05150553,8.31229293,18.000,0.500,0.000,0.000,5.000,True
2026-09-09 13:22:00.55+00:00,0,47.05150553,8.31229623,18.000,0.550,0.000,0.000,5.000,True
2026-09-09 13:22:00.60+00:00,0,47.05150553,8.31229953,18.000,0.600,0.000,0.000,5.000,True
2026-09-09 13:22:00.65+00:00,0,47.05150553,8.31230283,18.000,0.650,0.000,0.000,5.000,True
2026-09-09 13:22:00.70+00:00,0,47.05150553,8.31230613,18.000,0.700,0.000,0.000,5.000,True
2026-09-09 13:22:00.75+00:00,0,47.05150553,8.31230943,18.000,0.750,0.000,0.000,5.000,True
2026-09-09 13:22:00.80+00:00,0,47.05150553,8.31231273,18.000,0.800,0.000,0.000,5.000,True
2026-09-09 13:22:00.85+00:00,0,47.05150553,8.31231603,18.000,0.850,0.000,0.000,5.000,True
2026-09-09 13:22:00.90+00:00,0,47.05150553,8.31231933,18.000,0.900,0.000,0.000,5.000,True
2026-09-09 13:22:00.95+00:00,0,47.05150553,8.31232262,18.000,0.950,0.000,-0.017,5.000,True
2026-09-09 13:22:01.00+00:00,0,47.05150553,8.31232592,18.000,1.000,-0.001,-0.017,5.000,True
2026-09-09 13:22:01.05+00:00,0,47.05150553,8.31232922,18.000,1.050,-0.002,-0.017,5.000,True
2026-09-09 13:22:01.10+00:00,0,47.05150553,8.31233252,18.000,1.100,-0.003,-0.017,5.000,True
2026-09-09 13:22:01.15+00:00,0,47.05150552,8.31233582,18.000,1.150,-0.003,-0.035,5.000,True
2026-09-09 13:22:01.20+00:00,0,47.05150551,8.31233912,18.000,1.200,-0.005,-0.052,5.000,True
2026-09-09 13:22:01.25+00:00,0,47.05150550,8.31234242,18.000,1.250,-0.008,-0.087,5.000,True
2026-09-09 13:22:01.30+00:00,0,47.05150548,8.31234572,18.000,1.300,-0.012,-0.105,5.000,True
2026-09-09 13:22:01.35+00:00,0,47.05150546,8.31234902,18.000,1.350,-0.017,-0.105,5.000,True
2026-09-09 13:22:01.40+00:00,0,47.05150542,8.31235232,18.000,1.400,-0.023,-0.105,5.000,True
2026-09-09 13:22:01.45+00:00,0,47.05150537,8.31235562,18.000,1.450,-0.028,-0.105,5.000,True
2026-09-09 13:22:01.50+00:00,0,47.05150530,8.31235892,18.000,1.500,-0.033,-0.105,5.000,True
2026-09-09 13:22:01.55+00:00,0,47.05150523,8.31236222,18.000,1.550,-0.038,-0.105,5.000,True
2026-09-09 13:22:01.60+00:00,0,47.05150514,8.31236552,18.000,1.600,-0.044,-0.105,5.000,True
